操作系统 何静媛 1-4,7-14 四[3-4节] D1151 1-4,6-13 六[3-4节] D1138
世界舞台上的中华文明 叶泽川 15,16 四[10-11节] _ 4,7,9,11,13 四[10-11节] D1545 5,6,8,10,12,14 四[10-12节] _
形势与政策5 罗璇 14-17 五[8-9节] D1233
留学素养英语-托福阅读 王旭 2-5,7-18 一[3-4节] D1335
计算机系统结构 肖春华 1-5,7-14 二[6-7节] D1347 2-4 五[1-2节] D1148
软件逆向工程 杨吉云 1-5,7-13 一[8-9节] D1249
信息论基础 肖迪 1-5,7-13 二[10-11节] D1242 1-4,6-13 五[8-9节] D1342
计算机网络 李学明 1-5,7-14 一[6-7节] D1349 1-5,7-14 三[6-7节] D1351 1-2 五[6-7节] D1348
计算机系统结构 肖春华 11 日[10-13节] A主0404 12 日[10-13节] A主0404 13 日[10-13节] A主0404 14 日[10-13节] A主0404
计算机网络 李学明 7 六[10-13节] A主1503 12 六[10-13节] A主1503 14 六[10-13节] A主1503 15 六[10-13节] A主1503
软件逆向工程 杨吉云 4 五[10-13节] A主1501 6 五[10-13节] A主1501 8 五[10-13节] A主1501 10 五[10-13节] A主1501
